Name	Latitude	Longitude	Category	Checkins
Vaughn College of Aeronautics and Technology	40.7684143885	-73.8805693562	General College & University	838
Big Apple Bistro	40.7694497648	-73.8799664266	American Restaurant	145
2E14	40.7697238843	-73.8769517511	None	4
Vaughn College Hanger	40.7682083988	-73.8814593917	College Engineering Building	31
Rikers Island Correctional Facility	40.7880029584	-73.8845211267	Prison	4816
Vaughn College Arc Center	40.7677812115	-73.8828030504	Student Center	43
Brunos on the Boulevard	40.7641288111	-73.8808250427	Aquarium	645
Vaughn College Dorm	40.7684468039	-73.8806038092	College Residence Hall	227
Hooka Lounge	40.7664278868	-73.8736728798	Hookah Bar	5
LaGuardia Airport (LGA)	40.7716531197	-73.8676929474	Airport	1359068
East Elmhurst, NY	40.7612683753	-73.8652253151	Neighborhood	4278
Walgreens	40.76294187	-73.87573438	Pharmacy	874
La Guardia Café	40.768226254	-73.8735235779	Café	29
Stop 1 Grocery Corp.	40.7674916883	-73.8759525912	Deli / Bodega	122
Q48 Local Airport Service - Flushing via LaGuardia Airport	40.7680373785	-73.876417718	Bus Line	34
Q72- Queens MTA	40.7684189897	-73.8758836834	Bus Line	11
MTA Bus Stop - Q33/Q72/M60	40.7683381455	-73.8762397066	Bus Line	244
La Guardia Laundromat	40.76688	-73.876096	Laundry Service	29
Danny's Deli & Grocery	40.7684289414	-73.8726679608	Food & Drink Shop	37
Hooka Lounge	40.7664278868	-73.8736728798	Hookah Bar	5
Redd Light Fish & Chips	40.7684182666	-73.8732766552	Southern / Soul Food Restaurant	194
My Lil Local Laundromat. (Only Drying Services)	40.7670269994	-73.8759296219	Laundry Service	30
3-06 Astoria Blvd	40.76667	-73.875663	None	4
Jackson Mill Green	40.7670827695	-73.8756712177	Park	16
National Car Rental	40.7701987032	-73.875144124	Rental Car Location	2667
The Landing - Valet Parking for LaGuardia International Airport	40.7696055521	-73.8759219646	Parking	4
MTA Bus Stop - 94th St & 23rd Ave (M60, Q33, Q48, Q72)	40.7683099335	-73.8763545527	Bus Station	30
Fish And Chips	40.768408	-73.873242	Diner	3
Slootfest 5.2 #LGA	40.763982	-73.876808	Lounge	7
Angelo's Pizza	40.7669004914	-73.8716630367	None	8
Advantage Rent A Car	40.768496	-73.876244	Rental Car Location	45
El Patio Restaurant	40.7660967694	-73.8767048327	Latin American Restaurant	3
Jackson Heights, NY	40.7553845919	-73.8860607147	Neighborhood	26695
Alamo Rent A Car	40.770202969	-73.8751337975	Rental Car Location	70
Baggage Claim	40.7711818598	-73.8659763336	Baggage Claim	124
Roadies Chicken	40.7631462103	-73.8752233161	American Restaurant	39
Kings Inn	40.768528	-73.872687	Housing Development	3
Mr.bubbles laundromat	40.763011	-73.874452	None	47
AP Luxury Limousines	40.766235	-73.871699	Airport Tram	5
Biergarten	40.7686620445	-73.8725588551	Beer Garden	7
Queens Library at East Elmhurst	40.7625871897	-73.874009	Library	201
Buccaneer Diner	40.763434942	-73.8760444682	Diner	2593
Doug's Yard	40.768099	-73.873275	None	1
Pooltime	40.7655527303	-73.875912395	Pool	15
Redbox	40.763255	-73.876308	Video Store	63
Bernadette's Braiding Emporium	40.763038	-73.875219	None	7
Q77 Bus 106	40.7703387737	-73.8761150837	None	3
Overlook Park	40.7688297836	-73.8726047943	Scenic Lookout	989
Dollar Rent A Car (LGA)	40.7684826851	-73.876275	Rental Car Location	922
Airport Cuts	40.768565	-73.872354	Salon / Barbershop	1
Burger King	40.7631332108	-73.8775131984	Fast Food Restaurant	507
Q48 bus	40.7680622154	-73.8781059466	None	9
Growing Little Minds	40.768768	-73.877339	Nursery School	12
Clarion Bar & Grill	40.7693536981	-73.8763488104	Bar	9
The Secret Place	40.76851926	-73.8715941275	Scenic Lookout	8
Airways Pizza, Gyro & Restaurant	40.7637015372	-73.8785366149	Pizza Place	434
los taxes	40.763079	-73.874645	Office	5
Lucky Star Restaurant	40.7629453083	-73.8745744313	Chinese Restaurant	30
Caravan Bar	40.76289	-73.87509	Bar	1
East Elmhurst, NY	40.7612683753	-73.8652253151	Neighborhood	4278
LaGuardia Airport (LGA)	40.7716531197	-73.8676929474	Airport	1359068
Angelo's Pizza	40.7669004914	-73.8716630367	None	8
AP Luxury Limousines	40.766235	-73.871699	Airport Tram	5
Danny's Deli & Grocery	40.7684289414	-73.8726679608	Food & Drink Shop	37
Pound Town 5.5 #NYC	40.76523	-73.867144	Speakeasy	43
La Guardia Café	40.768226254	-73.8735235779	Café	29
New York LaGuardia Airport Marriott	40.768944	-73.867635	Hotel	6846
McIntosh Garden	40.7671012878	-73.870475769	Garden	1
East Elmhurst Playground	40.764754515	-73.8708150387	Playground	143
LaGuardia Plaza Hotel Fitness Center	40.7674575335	-73.8670747749	Gym / Fitness Center	106
Fish And Chips	40.768408	-73.873242	Diner	3
Hampton Inn - Laguardia Airport	40.7675741726	-73.8673496246	Hotel	3177
The Secret Place	40.76851926	-73.8715941275	Scenic Lookout	8
Hooka Lounge	40.7664278868	-73.8736728798	Hookah Bar	5
Biergarten	40.7686620445	-73.8725588551	Beer Garden	7
Redd Light Fish & Chips	40.7684182666	-73.8732766552	Southern / Soul Food Restaurant	194
Airport Cuts	40.768565	-73.872354	Salon / Barbershop	1
Kings Inn	40.768528	-73.872687	Housing Development	3
KAL CREW LOUNGE	40.7675591737	-73.8672413095	Lounge	25
Baggage Claim	40.7711818598	-73.8659763336	Baggage Claim	124
Elmhurst Care Center	40.7695585058	-73.8705432581	Medical Center	545
LaGuardia Plaza Hotel	40.767405066	-73.8670345769	Hotel	3025
Pavillon Restaurant	40.7670482144	-73.86670725	Snack Place	20
National Car Rental	40.7701987032	-73.875144124	Rental Car Location	2667
Salon A, Marriott Ballroom	40.7688362147	-73.8673044777	Conference	12
Baskin-Robbins	40.7639508038	-73.8705490005	Ice Cream Shop	275
Air Park	40.7705552479	-73.8703824688	General Travel	557
WiSE conneX	40.7664528246	-73.8684010506	Tech Startup	68
OutdoorsPics.com	40.7664040699	-73.8683688641	Photography Studio	20
Starbucks	40.7685048376	-73.8679017036	Coffee Shop	160
NYC TLC Insurance Inc	40.7687091913	-73.8712208685	Office	6
23-11 99st	40.76872999	-73.87099691	Building	6
Elements Lounge	40.7674434217	-73.8670862601	Hotel Bar	427
Q72- Queens MTA	40.7684189897	-73.8758836834	Bus Line	11
Overlook Park	40.7688297836	-73.8726047943	Scenic Lookout	989
East Elmhurst Rehab Center	40.7687084036	-73.8685333829	Building	6
Fried Chicken Joint	40.7695405489	-73.8703536987	Fried Chicken Joint	12
Flora's Pizzeria & Restaurant	40.7681084153	-73.867832793	Pizza Place	17
Comfort Inn	40.7687881395	-73.8728000362	None	4
Queens BasketBall Court	40.7683684132	-73.8678213079	Basketball Court	115
Bbq 2	40.7679144948	-73.8678040803	BBQ Joint	41
Crown Plaza Lga Gym	40.7679342794	-73.8677064569	Gym	21
Elm york assisted living	40.7694791996	-73.869676143	Assisted Living	32
Marriot Court Yard La Guardia	40.7691800178	-73.8670116066	Bed & Breakfast	103
The dock	40.7670453884	-73.8663684373	Stables	40
Alamo Rent A Car	40.770202969	-73.8751337975	Rental Car Location	70
Doug's Yard	40.768099	-73.873275	None	1
Spy Shop	40.7625785597	-73.8707557294	Electronics Store	49
Pavilion Grille	40.7670663181	-73.8666790724	American Restaurant	332
St. Michael Cemetery	40.764778893	-73.8981628418	Cemetery	555
TLC Inspections	40.76376005	-73.9019494333	Government Building	131
FedEx Home Delivery	40.7646501498	-73.9015156976	Office	110
Brooklyn Qns Expwy W	40.7660252817	-73.9038812069	Office	1591
NYC Taxi & Limousine Commission	40.763611141	-73.9021472685	Building	906
NYC T&LC Safety-Emission Inspection Facility	40.763902	-73.902352	Government Building	6
North queens	40.7679535533	-73.8944247397	Building	1721
Jackson Hole	40.7675416701	-73.8992786407	Burger Joint	5170
Ultimate Fitness Queens	40.761398361	-73.9022563578	Gym / Fitness Center	4079
Bed Bath & Beyond	40.7625488073	-73.8953089703	Furniture / Home Store	3095
LaGuardia Airport (LGA)	40.7716531197	-73.8676929474	Airport	1359068
Public Storage	40.76498335	-73.90269271	Storage Facility	150
The Home Depot	40.7630071277	-73.8948454967	Hardware Store	3204
Bulova Corporate Center	40.7644332981	-73.8929433572	Office	2884
Beverly Hills Detailing Center	40.767332	-73.898415	Car Wash	37
Donhauser Florist	40.7672011243	-73.8977664216	None	4
Skanska USA Civil Northeast	40.7641804985	-73.8938046274	Office	237
Scores Queens	40.761646	-73.898059	Other Nightlife	7
Super-Tek Products	40.7630790401	-73.9036917375	Office	237
Sunoco	40.7677691878	-73.9011240005	Gas Station	664
Stone Boss	40.7658311217	-73.8964573159	Miscellaneous Shop	38
TLC Training Academy	40.7637023926	-73.9018707275	School	27
Mauzone Commissary	40.7619667053	-73.9029769897	Factory	4
Verni's Garden Center	40.7678579223	-73.9004247978	Flower Shop	76
Time Warner Cable	40.7634238268	-73.9030773963	Office	51
Fed Ex - BQE	40.7650291745	-73.9031233284	Office	6
LGA AA Security	40.7675088455	-73.9012745519	Airport Terminal	23
Souvlaki Stand	40.764634309	-73.9042084717	Food Truck	23
M60 to laguardia	40.7675645332	-73.9012917766	Moving Target	46
All Souls Chapel and Crematory	40.76546	-73.896385	Funeral Home	1
U-Haul Moving & Storage of Woodside	40.7612890888	-73.9015903379	Storage Facility	795
25th Deli	40.7645671976	-73.9038524994	Deli / Bodega	66
Cosmo's Tire Center	40.7662535569	-73.904392199	Automotive Shop	21
Q69a MTA Bus Stop (Hazen & Ditmars)	40.7684895401	-73.8989606858	Bus Line	471
Starlets Gentlemen's Club	40.764582	-73.904072	Strip Club	1775
NYC Gentlemen's Club	40.7618209691	-73.9024329185	Strip Club	10
Medusa Night Club	40.7637875156	-73.9040207863	Nightclub	159
orsaris auto center	40.7664559706	-73.9032209341	Automotive Shop	8
Bulova Corporation	40.7620509297	-73.9014525405	Office	1781
Technician Auto Repair Shop	40.764392	-73.904489	Automotive Shop	4
A.S.K. Electrical Contracting	40.7610733411	-73.9025831223	Office	197
Furniture Design By Knossos	40.764509	-73.903305	Building	78
Zaman Construction	40.764412	-73.903555	Office	1
H&R Block	40.825560839	-73.9029051507	Financial or Legal Service	25
Lifespire Inc.	40.763835907	-73.9035873413	Building	3
Magical touch salon & day spa	40.7615726333	-73.9021695	Spa	158
Master Plumbing & Heating	40.763585	-73.904047	Office	86
Xanatos automotive	40.76385181	-73.9028477355	None	4
Westway Motor Inn	40.7671337085	-73.8974678544	Motel	338
Pete's Souvlaki Cart	40.7622270219	-73.8953549043	Food Truck	171
St. Michael Cemetery	40.764778893	-73.8981628418	Cemetery	555
North queens	40.7679535533	-73.8944247397	Building	1721
MTA Bus Stop - Q19/M60 (Westbound)	40.7658838905	-73.8916457029	Bus Line	56
Bulova Corporate Center	40.7644332981	-73.8929433572	Office	2884
The Home Depot	40.7630071277	-73.8948454967	Hardware Store	3204
Skanska USA Civil Northeast	40.7641804985	-73.8938046274	Office	237
Bed Bath & Beyond	40.7625488073	-73.8953089703	Furniture / Home Store	3095
Brooklyn Qns Expwy W	40.7660252817	-73.9038812069	Office	1591
73rd St GCP Overpass	40.768260798	-73.8947290533	Bridge	857
Ultimate Sound Productions	40.768398	-73.895203	Music Venue	122
Tiffany Sevice Center	40.7642645651	-73.8930180008	Office	195
Jackson Heights, NY	40.7553845919	-73.8860607147	Neighborhood	26695
11370	40.7682815885	-73.8947290533	Scenic Lookout	1442
All Souls Chapel and Crematory	40.76546	-73.896385	Funeral Home	1
LaGuardia Airport (LGA)	40.7716531197	-73.8676929474	Airport	1359069
Sweet Afton	40.7654838301	-73.9190668626	Bar	21724
Tommy's Delicious Gourmet	40.7682975568	-73.8946084762	Deli / Bodega	750
The Black Vatican,  Black Label Society	40.768352177	-73.8947175697	General Entertainment	1146
House Of Guitars	40.7683157699	-73.8947462785	General Entertainment	1590
Lessing's	40.76437	-73.89353	Cafeteria	22
DHS Office of Law Enforcement	40.764073263	-73.8929146481	Police Station	140
Antonio's Kitchen	40.7684756087	-73.8946888609	Pizza Place	1271
Ana's Dry Cleaning	40.768501	-73.894942	Laundry Service	70
Jackson Hole	40.7675416701	-73.8992786407	Burger Joint	5170
Stone Boss	40.7658311217	-73.8964573159	Miscellaneous Shop	38
LaGuardia Shopping Center	40.7682814909	-73.8948381467	Shopping Mall	1614
Friendly Bakery	40.768311317	-73.8946658939	Bakery	2320
Antonio's Pizzeria and Wine Bar!	40.769989	-73.896357	Italian Restaurant	382
British Airways	40.7647400918	-73.8937299842	Office	96
Donhauser Florist	40.7672011243	-73.8977664216	None	4
Bulova Parking Lot	40.7636013458	-73.8933165748	Parking	80
Beverly Hills Detailing Center	40.767332	-73.898415	Car Wash	37
Pete's Souvlaki Cart	40.7622270219	-73.8953549043	Food Truck	171
St Micheals Cemetary	40.7683329877	-73.894711828	Cemetery	42
Time Out Health And Fitness	40.7640543474	-73.8947060862	Gym / Fitness Center	8
Tommy's	40.7681803321	-73.8946773774	Deli / Bodega	240
Department of Corrections	40.7648880489	-73.8930065172	Government Building	157
Gossip Girl Pad	40.7662919748	-73.8946773774	Cocktail Bar	46
Scores Queens	40.761646	-73.898059	Other Nightlife	7
S & J.P.	40.7668992782	-73.8946946027	Residential Building (Apartment / Condo)	31
M60 Astoria Blvd & 74th Street	40.7668592742	-73.8952687781	Bus Line	304
MSR MAIN STREET RADIOLOGY	40.761728719	-73.8943730637	Medical Lab	13
Nick's Deli	40.768330235	-73.8946544103	Deli / Bodega	1985
Fatty's boutique	40.7682249381	-73.8948438885	Women's Store	50
Westway Motor Inn	40.7671337085	-73.8974678544	Motel	338
Westway Hostel	40.7672639952	-73.8968534935	Hostel	20
Transportation Security Administration	40.764526	-73.892941	Building	63
Stand-up mri of East Elmhurst	40.7595767723	-73.8920016974	Medical Center	44
Card & Gift Shop	40.7646205748	-73.8932017387	Gift Shop	6
big apple cafe and bar	40.7660519378	-73.8937414678	Hotel Bar	7
Bulova Corporate Center	40.7644332981	-73.8929433572	Office	2884
Tiffany Sevice Center	40.7642645651	-73.8930180008	Office	195
Lessing's	40.76437	-73.89353	Cafeteria	22
The Home Depot	40.7630071277	-73.8948454967	Hardware Store	3204
DHS Office of Law Enforcement	40.764073263	-73.8929146481	Police Station	140
St. Michael Cemetery	40.764778893	-73.8981628418	Cemetery	555
Bed Bath & Beyond	40.7625488073	-73.8953089703	Furniture / Home Store	3095
North queens	40.7679535533	-73.8944247397	Building	1721
British Airways	40.7647400918	-73.8937299842	Office	96
Card & Gift Shop	40.7646205748	-73.8932017387	Gift Shop	6
Queens Chamber Of Commerce	40.7644573857	-73.8938275946	Government Building	35
Bulova Parking Lot	40.7636013458	-73.8933165748	Parking	80
Jackson Heights, NY	40.7553845919	-73.8860607147	Neighborhood	26695
73rd St GCP Overpass	40.768260798	-73.8947290533	Bridge	857
VNSNY	40.763842759	-73.893012259	Non-Profit	124
Department of Corrections	40.7648880489	-73.8930065172	Government Building	157
Transportation Security Administration	40.764526	-73.892941	Building	63
Ultimate Sound Productions	40.768398	-73.895203	Music Venue	122
Crossfit Rykers Island	40.7640915355	-73.8928400045	Gym / Fitness Center	24
Vinny's Cafe	40.7640432776	-73.8930180008	American Restaurant	30
Family Gym	40.7638516648	-73.8935577304	Gym	13
The Home Zone Cafe	40.764471	-73.893093	Cafeteria	15
MTA Bus - Q47 (78th St & 25th Ave)	40.762401	-73.890434	Bus Stop	15
11370	40.7682815885	-73.8947290533	Scenic Lookout	1442
Visting Nurse Service Of Ny	40.7650392428	-73.8926218154	Meeting Room	61
Tommy's Delicious Gourmet	40.7682975568	-73.8946084762	Deli / Bodega	750
Interview Room	40.7640165118	-73.8930581935	Government Building	18
Knights of columbus 31st ave	40.7645469473	-73.8913356426	General Entertainment	6
Time Out Health And Fitness	40.7640543474	-73.8947060862	Gym / Fitness Center	8
Skanska USA Civil Northeast	40.7641804985	-73.8938046274	Office	237
Bulova Park	40.762650496	-73.8921222761	Playground	125
The Black Vatican,  Black Label Society	40.768352177	-73.8947175697	General Entertainment	1146
House Of Guitars	40.7683157699	-73.8947462785	General Entertainment	1590
Pete's Souvlaki Cart	40.7622270219	-73.8953549043	Food Truck	171
Krimko Pharmacy	40.765390549	-73.8932247059	Pharmacy	4
Antonio's Kitchen	40.7684756087	-73.8946888609	Pizza Place	1271
MTA Bus Stop - Q19/M60 (Westbound)	40.7658838905	-73.8916457029	Bus Line	56
Ana's Dry Cleaning	40.768501	-73.894942	Laundry Service	70
Friendly Bakery	40.768311317	-73.8946658939	Bakery	2320
big apple cafe and bar	40.7660519378	-73.8937414678	Hotel Bar	7
Q19 - Astoria Blvd	40.7665266809	-73.8931270952	Bus Line	167
Dial 7 - Car 3119	40.766713	-73.890322	Moving Target	6
Airway Inn	40.7657821498	-73.8917605399	Hotel	67
Gossip Girl Pad	40.7662919748	-73.8946773774	Cocktail Bar	46
LaGuardia Shopping Center	40.7682814909	-73.8948381467	Shopping Mall	1614
Gottes Cafe	40.7669159924	-73.8936245441	Sandwich Place	187
N&R Delicatessen	40.7628121215	-73.890600683	Deli / Bodega	43
Carnage Cavern	40.7661844078	-73.8911461611	Other Nightlife	51
Lexington School For The Deaf	40.7613344438	-73.8935577304	High School	454
Tommy's	40.7681803321	-73.8946773774	Deli / Bodega	240
Bulova Corporate Center	40.7644332981	-73.8929433572	Office	2884
Knights of columbus 31st ave	40.7645469473	-73.8913356426	General Entertainment	6
North queens	40.7679535533	-73.8944247397	Building	1721
Jackson Heights, NY	40.7553845919	-73.8860607147	Neighborhood	26695
Transportation Security Administration	40.764526	-73.892941	Building	63
Our Lady Of Fatima R. C. Church	40.7613004138	-73.8890905619	Church	177
LaGuardia Airport (LGA)	40.7716531197	-73.8676929474	Airport	1359069
Subway	40.7642249163	-73.890296363	Sandwich Place	2
The Home Zone Cafe	40.764471	-73.893093	Cafeteria	15
Planeview Park	40.7672797145	-73.8848357475	Park	1338
Fruit Cholados	40.7646259312	-73.8905719736	Dessert Shop	4
Tiffany Sevice Center	40.7642645651	-73.8930180008	Office	195
Pure Happiness	40.764622	-73.890798	None	6
Hi-Tek Car Wash & Lube	40.7650386681	-73.8859554445	Automotive Shop	386
N&R Delicatessen	40.7628121215	-73.890600683	Deli / Bodega	43
MTA Bus - Q47 (78th St & 25th Ave)	40.762401	-73.890434	Bus Stop	15
Lessing's	40.76437	-73.89353	Cafeteria	22
DHS Office of Law Enforcement	40.764073263	-73.8929146481	Police Station	140
MTA Bus Stop - Q19/M60 (Westbound)	40.7658838905	-73.8916457029	Bus Line	56
Laundromat	40.7639220177	-73.8894867545	Laundry Service	26
Carnage Cavern	40.7661844078	-73.8911461611	Other Nightlife	51
MTA Bus - M60, Q19, Q33, Q47, Q69	40.765353841	-73.8877412043	Bus Station	505
The Home Depot	40.7630071277	-73.8948454967	Hardware Store	3204
77st & 24ave	40.7643470764	-73.8915100098	Intersection	1
Bulova Parking Lot	40.7636013458	-73.8933165748	Parking	80
Poolin	40.763474	-73.889555	Pool Hall	1
Bulova Park	40.762650496	-73.8921222761	Playground	125
Ice drop	40.763526	-73.889646	Dessert Shop	1
Department of Corrections	40.7648880489	-73.8930065172	Government Building	157
Sunoco Ultra Service Center	40.7650226721	-73.8880777359	Automotive Shop	4
Crossfit Rykers Island	40.7640915355	-73.8928400045	Gym / Fitness Center	24
Masjid E-Khedra	40.765636	-73.88839	Spiritual Center	1
Airway Inn	40.7657821498	-73.8917605399	Hotel	67
All American Suds Laundromat	40.7627066	-73.890593	Laundry Service	78
Laguardia Landing Lights Dog Run	40.7628448807	-73.8899445534	Dog Run	16
Visting Nurse Service Of Ny	40.7650392428	-73.8926218154	Meeting Room	61
Queens Chamber Of Commerce	40.7644573857	-73.8938275946	Government Building	35
MTA - Q47 Bus (77th St & 25th Ave)	40.762437	-73.891363	Bus Stop	2
Thornwillow at The St. Regis	40.7625959942	-73.8891881747	Bookstore	13
VNSNY	40.763842759	-73.893012259	Non-Profit	124
Comfort Inn	40.765804	-73.8862714	Hotel	278
MTA Bus - Q33 (83rd St & 25th Ave)	40.762758	-73.886724	Bus Station	1
United LGA>ORD	40.7673829864	-73.8885393361	Moving Target	5
Card & Gift Shop	40.7646205748	-73.8932017387	Gift Shop	6
Bed Bath & Beyond	40.7625488073	-73.8953089703	Furniture / Home Store	3095
M60 Ditmars and 81st St	40.767509	-73.888069	Bus Station	221
Tikka Grill	40.764846	-73.886885	Indian Restaurant	57
Gulf	40.7648015861	-73.8868339715	Gas Station	279
Barclay Gardens	40.76845	-73.89025	Residential Building (Apartment / Condo)	121
Little Caesars Pizza	40.7671515067	-73.8876952686	Pizza Place	82
Dunkin' Donuts	40.764692012	-73.8860243487	Donut Shop	1574
MTA Bus - M60, Q19, Q33, Q47, Q69	40.765353841	-73.8877412043	Bus Station	505
Gulf	40.7648015861	-73.8868339715	Gas Station	279
LaGuardia Airport (LGA)	40.7716531197	-73.8676929474	Airport	1359069
Joey's Place	40.764493337	-73.8847553587	Pub	529
Tikka Grill	40.764846	-73.886885	Indian Restaurant	57
Popeyes Louisiana Kitchen	40.7645319842	-73.8853238213	Fried Chicken Joint	782
MTA - Q33	40.7652503624	-73.881786694	Bus Line	173
Planeview Park	40.7672797145	-73.8848357475	Park	1338
Hi-Tek Car Wash & Lube	40.7650386681	-73.8859554445	Automotive Shop	386
Popeye's	40.7646680871	-73.8852319487	Fried Chicken Joint	55
Airway Inn	40.7644922834	-73.8868167455	Hotel	67
Enterprise Rent-A-Car	40.766527988	-73.8849180937	Rental Car Location	2081
Jackson Heights, NY	40.7553845919	-73.8860607147	Neighborhood	26695
Bulova Corporate Center	40.7644332981	-73.8929433572	Office	2884
Comfort Inn	40.765804	-73.8862714	Hotel	278
Animal House	40.7646324922	-73.8868397135	Residential Building (Apartment / Condo)	39
S Michael & Sons Inc	40.7646976331	-73.8867688179	Gas Station	2
Sooverthisweatherpocalypse	40.765454217	-73.8877182365	Other Great Outdoors	67
ups truck the hurst	40.7639350891	-73.8876266479	Moving Target	1
C&M Roofing Yard	40.764497	-73.887916	Coworking Space	9
Daltons	40.764582	-73.884765	Bar	58
King's Taste Of Astoria	40.7644580437	-73.8846462597	Chinese Restaurant	53
Sunoco Ultra Service Center	40.7650226721	-73.8880777359	Automotive Shop	4
MTA Bus - Q33 (83rd St & 25th Ave)	40.762758	-73.886724	Bus Station	1
Dick Blicks Westbury	40.763370967	-73.8871727488	Arts & Crafts Store	12
MTA Bus - Q47 (78th St & 25th Ave)	40.762401	-73.890434	Bus Stop	15
MTA Bus Stop Q19	40.7648	-73.88658	Bus Line	3
FedEx Home Delivery	40.7650523947	-73.8841065055	Post Office	64
Airport Delicatessen	40.7645627239	-73.8842213469	Deli / Bodega	168
DC Gates	40.7654083593	-73.8865640976	Airport Gate	11
Board Of Elections Queens Office	40.7632020671	-73.8878617856	Building	2
KV's Classy Pad	40.76346	-73.8870755	None	11
U-Save Car & Truck Rental	40.76494765	-73.884642	Rental Car Location	130
Hertz	40.768349	-73.887209	Rental Car Location	4302
Safety Zone	40.7644309998	-73.8842926025	Hardware Store	6
Comfort Inn Laguardia Airport - 83Rd St	40.765851	-73.886052	Hotel	1
Citgo Gas Station	40.7646599296	-73.8840548268	Gas Station	215
Tiffany Sevice Center	40.7642645651	-73.8930180008	Office	195
Masjid E-Khedra	40.765636	-73.88839	Spiritual Center	1
Little Caesars Pizza	40.7671515067	-73.8876952686	Pizza Place	82
Taxi 1L41	40.767227906	-73.8866100336	Moving Target	3
Gorman Playground	40.7620852646	-73.8841581841	Playground	309
N&R Delicatessen	40.7628121215	-73.890600683	Deli / Bodega	43
Our Lady Of Fatima R. C. Church	40.7613004138	-73.8890905619	Church	177
VS Exclusive Cuts	40.7646282619	-73.8844567717	Salon / Barbershop	178
M60 82nd St and Astoria	40.7675306605	-73.8878847535	Bus Station	36
United LGA>ORD	40.7673829864	-73.8885393361	Moving Target	5
Laundromat	40.7639220177	-73.8894867545	Laundry Service	26
Boston Gates	40.7656000441	-73.8858807982	Airport Gate	9
Airport Delicatessen	40.7645627239	-73.8842213469	Deli / Bodega	168
Dunkin' Donuts	40.764692012	-73.8860243487	Donut Shop	1574
Citgo Gas Station	40.7646599296	-73.8840548268	Gas Station	215
Daltons	40.764582	-73.884765	Bar	58
King's Taste Of Astoria	40.7644580437	-73.8846462597	Chinese Restaurant	53
LaGuardia Airport (LGA)	40.7716531197	-73.8676929474	Airport	1359069
Popeyes Louisiana Kitchen	40.7645319842	-73.8853238213	Fried Chicken Joint	782
FedEx Home Delivery	40.7650523947	-73.8841065055	Post Office	64
MTA Bus Operations Depot - LaGuardia	40.7656199295	-73.8840777951	Bus Station	666
Planeview Park	40.7672797145	-73.8848357475	Park	1338
Safety Zone	40.7644309998	-73.8842926025	Hardware Store	6
Joey's Place	40.764493337	-73.8847553587	Pub	529
7-Eleven	40.763826325	-73.8816252477	Convenience Store	1655
D & S Deli	40.7644915581	-73.88429758	Deli / Bodega	31
Hi-Tek Car Wash & Lube	40.7650386681	-73.8859554445	Automotive Shop	386
U.S. Post Office - East Elmhurst	40.7639951541	-73.8779738748	Post Office	1000
Subway Restaurant	40.7641930476	-73.881826889	Sandwich Place	421
MTA Bus - M60, Q19, Q33, Q47, Q69	40.765353841	-73.8877412043	Bus Station	505
VS Exclusive Cuts	40.7646282619	-73.8844567717	Salon / Barbershop	178
Jackson Heights, NY	40.7553845919	-73.8860607147	Neighborhood	26695
Q 19 Bu	40.764679	-73.884504	Bus Stop	2
U-Save Car & Truck Rental	40.76494765	-73.884642	Rental Car Location	130
GNB Auto Repair, Inc	40.7649739163	-73.8839364052	Automotive Shop	51
Getty Gas Station	40.7648724318	-73.8836038113	Gas Station	5
Enterprise Rent-A-Car	40.766527988	-73.8849180937	Rental Car Location	2081
Comfort Inn	40.765804	-73.8862714	Hotel	278
McDonald's	40.7643816237	-73.8809081444	Fast Food Restaurant	2583
Great Wall Restaurant	40.7651965022	-73.8817637254	Chinese Restaurant	120
USAVE Parking LGA	40.7649636269	-73.884569	Parking	11
MTA - Q33	40.7652503624	-73.881786694	Bus Line	173
FedEx Shipping HQ	40.7652014428	-73.8843011856	Building	67
Karachi	40.7638986717	-73.885438662	None	21
Gorman Playground	40.7620852646	-73.8841581841	Playground	309
Great Wall Chinese Restaurant	40.7639994638	-73.8813273221	Chinese Restaurant	10
Tikka Grill	40.764846	-73.886885	Indian Restaurant	57
Van's Liquor & Wine, Inc.	40.7636900022	-73.8818120956	Wine Shop	187
Gulf	40.7648015861	-73.8868339715	Gas Station	279
Panorama	40.7641047145	-73.881666109	Caribbean Restaurant	42
Bambusa	40.7652039899	-73.881826889	Bar	46
Bruno's Catering	40.7642895027	-73.8817522411	Deli / Bodega	14
Speedway	40.7636347561	-73.8799032625	Gas Station	91
OTB Lounge	40.7640821498	-73.8817005619	Lounge	148
Marino's Hardware	40.765192	-73.881719	Hardware Store	31
85th Street Park	40.7611143564	-73.8846405176	Park	247
Airway Inn	40.7644922834	-73.8868167455	Hotel	67
Comfort Inn Laguardia Airport - 83Rd St	40.765851	-73.886052	Hotel	1
Popeye's	40.7646680871	-73.8852319487	Fried Chicken Joint	55
MTA Bus - Q33 (83rd St & 25th Ave)	40.762758	-73.886724	Bus Station	1
P.S. 148Q	40.7652213297	-73.8817522411	School	351
Sitan Gym	40.7660011433	-73.8845486447	Martial Arts Dojo	18
McDonald's	40.7643816237	-73.8809081444	Fast Food Restaurant	2583
Brunos on the Boulevard	40.7641288111	-73.8808250427	Aquarium	645
7-Eleven	40.763826325	-73.8816252477	Convenience Store	1655
Dunkin' Donuts	40.764692012	-73.8860243487	Donut Shop	1574
Van's Liquor & Wine, Inc.	40.7636900022	-73.8818120956	Wine Shop	187
U.S. Post Office - East Elmhurst	40.7639951541	-73.8779738748	Post Office	1000
